dataset,analysis,example_id,n_source,n_predicted,n_matched,n_omitted,n_added,omitted_predicates,added_predicates
FA,ordering_vs_input,0,5,5,5,0,0,,
FA,structuring_vs_ordering,0,5,5,5,0,0,,
FA,structuring_vs_input,0,5,5,5,0,0,,
FA,ordering_vs_input,1,2,2,2,0,0,,
FA,structuring_vs_ordering,1,2,2,2,0,0,,
FA,structuring_vs_input,1,2,2,2,0,0,,
FA,ordering_vs_input,2,1,1,1,0,0,,
FA,structuring_vs_ordering,2,1,1,1,0,0,,
FA,structuring_vs_input,2,1,1,1,0,0,,
FA,ordering_vs_input,3,3,3,3,0,0,,
FA,structuring_vs_ordering,3,3,3,3,0,0,,
FA,structuring_vs_input,3,3,3,3,0,0,,
FA,ordering_vs_input,4,5,4,4,1,0,type,
FA,structuring_vs_ordering,4,4,4,4,0,0,,
FA,structuring_vs_input,4,5,4,4,1,0,type,
FA,ordering_vs_input,5,2,2,2,0,0,,
FA,structuring_vs_ordering,5,2,2,2,0,0,,
FA,structuring_vs_input,5,2,2,2,0,0,,
FA,ordering_vs_input,6,5,5,5,0,0,,
FA,structuring_vs_ordering,6,5,5,5,0,0,,
FA,structuring_vs_input,6,5,5,5,0,0,,
FA,ordering_vs_input,7,1,1,1,0,0,,
FA,structuring_vs_ordering,7,1,1,1,0,0,,
FA,structuring_vs_input,7,1,1,1,0,0,,
FA,ordering_vs_input,8,3,3,3,0,0,,
FA,structuring_vs_ordering,8,3,3,3,0,0,,
FA,structuring_vs_input,8,3,3,3,0,0,,
FA,ordering_vs_input,9,1,1,1,0,0,,
FA,structuring_vs_ordering,9,1,1,1,0,0,,
FA,structuring_vs_input,9,1,1,1,0,0,,
FA,ordering_vs_input,10,1,1,1,0,0,,
FA,structuring_vs_ordering,10,1,1,1,0,0,,
FA,structuring_vs_input,10,1,1,1,0,0,,
FA,ordering_vs_input,11,1,1,1,0,0,,
FA,structuring_vs_ordering,11,1,1,1,0,0,,
FA,structuring_vs_input,11,1,1,1,0,0,,
FA,ordering_vs_input,12,6,6,6,0,0,,
FA,structuring_vs_ordering,12,6,6,6,0,0,,
FA,structuring_vs_input,12,6,6,6,0,0,,
FA,ordering_vs_input,13,1,1,1,0,0,,
FA,structuring_vs_ordering,13,1,1,1,0,0,,
FA,structuring_vs_input,13,1,1,1,0,0,,
FA,ordering_vs_input,14,3,3,3,0,0,,
FA,structuring_vs_ordering,14,3,3,3,0,0,,
FA,structuring_vs_input,14,3,3,3,0,0,,
FA,ordering_vs_input,15,2,2,2,0,0,,
FA,structuring_vs_ordering,15,2,2,2,0,0,,
FA,structuring_vs_input,15,2,2,2,0,0,,
FA,ordering_vs_input,16,4,3,3,1,0,industry,
FA,structuring_vs_ordering,16,3,3,3,0,0,,
FA,structuring_vs_input,16,4,3,3,1,0,industry,
FA,ordering_vs_input,17,3,3,3,0,0,,
FA,structuring_vs_ordering,17,3,3,3,0,0,,
FA,structuring_vs_input,17,3,3,3,0,0,,
FA,ordering_vs_input,18,4,4,4,0,0,,
FA,structuring_vs_ordering,18,4,4,4,0,0,,
FA,structuring_vs_input,18,4,4,4,0,0,,
FA,ordering_vs_input,19,3,3,3,0,0,,
FA,structuring_vs_ordering,19,3,3,3,0,0,,
FA,structuring_vs_input,19,3,3,3,0,0,,
FA,ordering_vs_input,20,7,2,2,5,0,artist | producer | runtime | recordedIn | recordedIn,
FA,structuring_vs_ordering,20,2,2,2,0,0,,
FA,structuring_vs_input,20,7,2,2,5,0,artist | producer | runtime | recordedIn | recordedIn,
FA,ordering_vs_input,21,2,2,2,0,0,,
FA,structuring_vs_ordering,21,2,2,2,0,0,,
FA,structuring_vs_input,21,2,2,2,0,0,,
FA,ordering_vs_input,22,3,3,3,0,0,,
FA,structuring_vs_ordering,22,3,3,3,0,0,,
FA,structuring_vs_input,22,3,3,3,0,0,,
FA,ordering_vs_input,23,3,2,2,1,0,producer,
FA,structuring_vs_ordering,23,2,2,2,0,0,,
FA,structuring_vs_input,23,3,2,2,1,0,producer,
FA,ordering_vs_input,24,5,5,5,0,0,,
FA,structuring_vs_ordering,24,5,5,5,0,0,,
FA,structuring_vs_input,24,5,5,5,0,0,,
FA,ordering_vs_input,25,2,2,2,0,0,,
FA,structuring_vs_ordering,25,2,2,2,0,0,,
FA,structuring_vs_input,25,2,2,2,0,0,,
FA,ordering_vs_input,26,3,2,2,1,0,writer,
FA,structuring_vs_ordering,26,2,2,2,0,0,,
