added_pct,comparison_basis,dataset,examples_with_additions,examples_with_additions_pct,examples_with_omissions,examples_with_omissions_pct,num_examples,omitted_pct,task,total_added_triples,total_error_pct,total_errors,total_omitted_triples,total_source_triples
6.54,webnlg17_input,counterfactual,263,14.78,430,24.17,1779,11.33,ordering,369,17.88,1008,639,5639
6.92,webnlg17_input,factual,270,15.18,458,25.74,1779,12.36,ordering,390,19.28,1087,697,5639
5.69,webnlg17_input,fictional,225,12.65,401,22.54,1779,10.66,ordering,321,16.35,922,601,5639
0.27,ordering_output,counterfactual,14,0.79,6,0.34,1779,0.12,structuring,14,0.39,20,6,5110
0.25,webnlg17_input,counterfactual,14,0.79,357,20.07,1779,9.49,structuring,14,9.74,549,535,5639
0.16,ordering_output,factual,8,0.45,6,0.34,1779,0.12,structuring,8,0.28,14,6,5047
0.14,webnlg17_input,factual,8,0.45,387,21.75,1779,10.6,structuring,8,10.75,606,598,5639
0.06,ordering_output,fictional,3,0.17,7,0.39,1779,0.14,structuring,3,0.2,10,7,5126
0.05,webnlg17_input,fictional,3,0.17,337,18.94,1779,9.22,structuring,3,9.27,523,520,5639
6.38,webnlg17_input,ALL,758,14.2,1289,24.15,5337,11.45,ordering,1080,17.83,3017,1937,16917
0.16,ordering_output,ALL,25,0.47,19,0.36,5337,0.12,structuring,25,0.29,44,19,15283
0.15,webnlg17_input,ALL,25,0.47,1081,20.25,5337,9.77,structuring,25,9.92,1678,1653,16917
